id,name,category,method,garnish,history,note,simoxrate,link,imageurl,ingredients
11,"Bloody Mary","Contemporary Classics","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass.","Celery, Lemon Wedge (Optional)",NULL,"If requested served with ice, pour into highball glass.",5,"https://iba-world.com/bloody-mary/","./img/cocktails/IBA-CC-03-Bloody-Marry-scaled.jpg","45 ml Vodka;90 ml Tomato Juice;15 ml Fresh Lemon Juice;2 dashes Worcestershire Sauce;Up to taste Tabasco;Up to taste Celery Salt;Up to taste Pepper "
12,Boulevardier,"The Unforgettables","Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.","Garnish with orange zest, optionally a lemon zest.",NULL,NULL,5,"https://iba-world.com/boulevardier/","./img/cocktails/IBA-TU-06-Boulevardier.jpg","45 ml Bourbon or Rye Whiskey;30 ml Bitter Campari;30 ml Sweet Red Vermouth"
36,"Horse's Neck","Contemporary Classics","Pour Cognac and ginger ale directly into a highball glass with ice cubes. Stir gently. If preferred, add dashes of Angostura Bitter.","Garnish with a rind of one lemon spiral.",NULL,NULL,4,"https://iba-world.com/horses-neck/","./img/cocktails/IBA-CC-14-Horse_s-Neck-scaled.jpg","40 ml Cognac;120 ml Ginger Ale;Dash (optional) Angostura Bitters"
13,Bramble,"New Era Drinks","Pour all ingredients into a cocktail shaker except the Creme de Mure, shake well with ice, strain into chilled old fashioned glass filled with crushed ice, then pour the blackberry liqueur (Creme de Mure) over the top of the drink, in a circular motion.","Garnish optionally with a lemon slice and blackberries.",NULL,NULL,6,"https://iba-world.com/bramble/","./img/cocktails/IBA-NE-02-Bramble.jpg","50 ml Gin;25 ml Fresh Lemon Juice;12,5 ml Sugar Syrup;15 ml Creme de Mure"
14,"Brandy Crusta","The Unforgettables","Mix together all ingredients with ice cubes in a mixing glass and strain into prepared slim cocktail glass.","Rub a slice of orange (or lemon) around the rim of the glass and dip it in pulverized white sugar, so that the sugar will adhere to the edge of the glass. Carefully curling place the orange/lemon peel around the inside of the glass.",NULL,NULL,1,"https://iba-world.com/brandy-crusta/","./img/cocktails/IBA-TU-07-Brandy-Crusta.jpg","52,5 ml Brandy;7,5 ml Maraschino Luxardo;1 Bar Spoon Curacao;15 ml Fresh Lemon Juice;1 Bar Spoon Simple Syrup;2 Dashes Aromatic Bitters"
15,Canchanchara,"New Era Drinks","Mix honey with water and lime juice and spread the mixture on the bottom and sides of the glass. Add cracked ice, and then the rum. End by energetically stirring from bottom to top.","Lime wedge.",NULL,NULL,7,"https://iba-world.com/cachanchara/","./img/cocktails/IBA-NE-04-Cachanchara.jpg","60 ml Cuban Aguardiente;15 ml Fresh Lime Juice;15 ml Raw Honey;50 ml Water"
16,Caipirinha,"Contemporary Classics","Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients.",NULL,NULL,"Caipiroska - Instead of Cachaça use Vodka;",6,"https://iba-world.com/caipirinha/","./img/cocktails/IBA-CC-04-Caipirinha-scaled.jpg","60 ml Cachaça;1 (cut into small wedges) Lime ;4 Teaspoons White Cane Sugar"
17,Casino,"The Unforgettables","Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled rocks glass with ice.","Garnish with lemon zest and a maraschino cherry.",NULL,NULL,5,"https://iba-world.com/casino/","./img/cocktails/IBA-TU-08-Casino.jpg","40 ml Old Tom Gin;10 ml Maraschino Luxardo;10 ml Fresh Lemon Juice;2 Dashes Orange Bitters"
18,"Champagne Cocktail","Contemporary Classics","Place the sugar cube with 2 dashes of bitters in a large Champagne glass, add the cognac. Pour gently chilled Champagne.","Garnish with orange zest and maraschino cherry.",NULL,NULL,2,"https://iba-world.com/champagne-cocktail/","./img/cocktails/IBA-CC-05-Champagne-Cocktail-scaled.jpg","90 ml Chilled Champagne;10 ml Cognac;2 dashes Angostura Bitters;Few drops (Optional) Grand Marnier;1 Sugar Cube"
19,"Clover Club","The Unforgettables","Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled cocktail glass.","Fresh raspberries.",NULL,NULL,7,"https://iba-world.com/clover-club/","./img/cocktails/IBA-TU-09-Clover-Club.jpg","45 ml Gin;15 ml Raspberry Syrup;15 ml Fresh Lemon Juice;Few Drops Egg White"
20,"Corpse Reviver #2","Contemporary Classics","Pour all ingredients into shaker with ice. Shake well and strain in chilled cocktail glass.","Garnish with orange zest.",NULL,NULL,2,"https://iba-world.com/corpse-reviver-2/","./img/cocktails/IBA-CC-07-Corpse-Reviver2-scaled.jpg","30 ml Gin;30 ml Cointreau;30 ml Lillet Blanc;30 ml Fresh Lemon Juice;1 dash Absinthe"
21,Cosmopolitan,"Contemporary Classics","Add all ingredients into a cocktail shaker filled with ice. Shake well and strain into a large cocktail glass.","Garnish with a lemon twist.",NULL,NULL,2,"https://iba-world.com/cosmopolitan/","./img/cocktails/IBA-CC-06-Cosmopolitan-scaled.jpg","40 ml Vodka Citron;15 ml Cointreau;15 ml Fresh Lime Juice;30 ml Cranberry Juice"
22,"Cuba Libre","Contemporary Classics","Build all ingredients in a highball glass filled with ice.","Garnish with lime wedge.",NULL,NULL,10,"https://iba-world.com/cuba-libre/","./img/cocktails/IBA-CC-08-Cuba-Libre-scaled.jpg","50 ml White Rum;120ml Coca Cola;10 ml Fresh Lime Juice"
23,Daiquiri,"The Unforgettables","In a cocktail shaker add all ingredients. Stir well to dissolve the sugar. Add ice and shake. Strain into chilled cocktail glass.",NULL,NULL,NULL,10,"https://iba-world.com/daiquiri/","./img/cocktails/IBA-TU-10-Daiquiri.jpg","60 ml White Cuban Ron (Rum);20 ml Fresh Lime Juice;2 Bar Spoons Superfine Sugar"
24,"Dark ‘n' stormy","New Era Drinks","In a highball glass filled with ice pour the ginger beer and top floating with the Rum.","Garnish with a lime wedge or slice.",NULL,NULL,7,"https://iba-world.com/dark-n-stormy/","./img/cocktails/IBA-NE-05-DarkNStormy.jpg","60 ml Goslings Rum;100 ml Ginger Beer"
25,"Dry Martini","The Unforgettables","Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.","Squeeze oil from lemon peel onto the drink, or garnish with green olives if requested.",NULL,NULL,7,"https://iba-world.com/dry-martini/","./img/cocktails/IBA-TU-11-Dry-Martini.jpg","60 ml Gin;10 ml Dry Vermouth"
26,"Espresso Martini","New Era Drinks","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",NULL,NULL,NULL,8,"https://iba-world.com/espresso-martini/","./img/cocktails/IBA-NE-06-Espresso-Martini.jpg","50 ml Vodka;30 ml Kahlúa;10 ml Sugar Syrup;1 Espresso (strong)"
27,Fernandito,"New Era Drinks","Pour the Fernet Branca into a double old fashioned glass with ice, fill the glass up with Cola. Gently stir.",NULL,NULL,NULL,9,"https://iba-world.com/fernandito/","./img/cocktails/IBA-NE-07-Fernandito.jpg","50 ml Fernet Branca;Fill up Cola"
28,"French 75","Contemporary Classics","Pour all the ingredients, except Champagne, into a shaker. Shake well and strain into a Champagne flute. Top up with Champagne. Stir gently.",NULL,NULL,NULL,7,"https://iba-world.com/french-75/","./img/cocktails/IBA-CC-09-French-75-scaled.jpg","30 ml Gin;15 ml Fresh Lemon Juice;15 ml Sugar Syrup;60 ml Champagne"
29,"French Connection","Contemporary Classics","Pour all ingredients directly into an old fashioned glass filled with ice cubes. Stir gently.",NULL,NULL,NULL,5,"https://iba-world.com/french-connection/","./img/cocktails/IBA-CC-10-French-Connection-scaled.jpg","35 ml Cognac;35 ml Amaretto"
30,"French Martini","New Era Drinks","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.","Squeeze oil from lemon peel onto the drink.",NULL,NULL,6,"https://iba-world.com/french-martini/","./img/cocktails/IBA-NE-08-French-Martini.jpg","45 ml Vodka;15 ml Raspberry Liqueur;15 ml Fresh Pineapple Juice"
31,"Gin Fizz","The Unforgettables","Shake all ingredients with ice except soda water. Pour into thin tall Tumbler glass , top with a splash soda water.","Garnish with a lemon slice, optional lemon zest.",NULL,"Serve without ice.",10,"https://iba-world.com/gin-fizz/","./img/cocktails/IBA-TU-12-Gin-Fizz.jpg","45 ml Gin;30 ml Fresh Lemon Juice;10 ml Simple Syrup;Splash Soda Water"
32,"Golden Dream","Contemporary Classics","Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.",NULL,NULL,NULL,5,"https://iba-world.com/golden-dream/","./img/cocktails/IBA-CC-11-Golden-Dream-scaled.jpg","20 ml Galliano;20 ml Triple Sec;20 ml Fresh Orange Juice;10 ml Fresh Cream"
33,Grasshopper,"Contemporary Classics","Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.","Mint leaf (optional).",NULL,NULL,3,"https://iba-world.com/grasshopper/","./img/cocktails/IBA-CC-12-Grasshopper-scaled.jpg","20 ml Creme de Cacao (White);20 ml Creme de Menthe (Green);20 ml Fresh Cream"
34,"Hanky Panky","The Unforgettables","Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.","Orange zest.",NULL,NULL,5,"https://iba-world.com/hanky-panky/","./img/cocktails/IBA-TU-13-Hanky-Panky.jpg","45 ml London Dry Gin;45 ml Sweet Red Vermouth;7.5 ml Fernet Branca"
35,"Hemingway Special","Contemporary Classics","Pour all ingredients into a shaker with ice. Shake well and strain into a large cocktail glass.",NULL,NULL,NULL,4,"https://iba-world.com/hemingway-special/","./img/cocktails/IBA-CC-13-Hemingway-Special-scaled.jpg","60 ml Rum;40 ml Grapefruit Juice;15 ml Maraschino Luxardo;15 ml Fresh Lime"
37,Illegal,"New Era Drinks","Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled cocktail glass, or ""on the rocks"" in a traditional clay or terracotta mug.",NULL,NULL,NULL,1,"https://iba-world.com/illegal/","./img/cocktails/IBA-NE-09-Illegal.jpg","30 ml Espadin Mezcal;15 ml Jamaica Overproof White Rum;15 ml Falernum;1 Bar Spoon Maraschino Luxardo;22.5 ml Fresh Lime Juice;15 ml Simple Syrup;Few Drops (Optional) Egg White"
38,"Irish Coffee","Contemporary Classics","Warm black coffee is poured into a pre-heated Irish coffee glass. Whiskey and at least one teaspoon of sugar is added and stirred until dissolved. Fresh thick chilled cream is carefully poured over the back of a spoon held just above the surface of the coffee. The layer of cream will float on the coffee without mixing. Plain sugar can be replaced with sugar syrup.",NULL,NULL,NULL,9,"https://iba-world.com/irish-coffee/","./img/cocktails/IBA-CC-15-Irish-Coffee-scaled.jpg","50 ml Irish Whiskey;120 ml Hot coffee;50 ml (Chilled) Fresh Cream;1 teaspoon Sugar"
39,"John Collins","The Unforgettables","Pour all ingredients directly into a highball filled with ice. Stir gently.","Garnish with a lemon slice and maraschino cherry.",NULL,"Use ‘Old Tom' Gin for Tom Collins.",10,"https://iba-world.com/john-collins/","./img/cocktails/IBA-TU-14-John-Colins.jpg","45 ml Gin;30 ml Fresh Lemon Juice;15 ml Simple Syrup;60 ml Soda Water"
40,KIR,"Contemporary Classics","Pour Creme de Cassis into glass, top up with white wine.",NULL,NULL,"KIR Royal - Use Champagne instead of white wine.",4,"https://iba-world.com/kir/","./img/cocktails/IBA-CC-16-Kir-scaled.jpg","90 ml Dry White Wine;10 ml Creme de Cassis"
41,"Last word","The Unforgettables","Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.",NULL,NULL,NULL,3,"https://iba-world.com/last-word/","./img/cocktails/IBA-TU-15-Last-World.jpg","22.5 ml Gin;22.5 ml Green Chartreuse;22.5 ml Maraschino Luxardo;22.5 ml Fresh Lime Juice"
42,"Lemon drop Martini","New Era Drinks","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.","Garnish with sugar rim around the glass.",NULL,NULL,5,"https://iba-world.com/lemon-drop-martini/","./img/cocktails/IBA-NE-10-Lemon-Drop-Martini.jpg","30 ml Vodka Citron ;20 ml Triple Sec;15 ml Fresh Lemon Juice"
43,"Long Island Ice Tea","Contemporary Classics","Add all ingredients into a highball glass filled with ice. Stir gently.","Lemon Slice (Optional).",NULL,NULL,3,"https://iba-world.com/long-island-ice-tea/","./img/cocktails/IBA-CC-17-Long-Island-Iced-Tea-scaled.jpg","15 ml Vodka;15 ml Tequila;15 ml White Rum;15 ml Gin;15 ml Cointreau;30 ml Fresh Lemon Juice;20 ml Simple Syrup;Top up Cola"
44,Mai-Tai,"Contemporary Classics","Add all ingredients into a shaker with ice. Shake and pour into a double rocks glass or a highball glass.","Garnish with pineapple spear, mint leaves, and lime peel.",NULL,"The Martinique molasses rum used by Trader Vic was not an Agricole rum but a type of ""rummy"" from molasses.",1,"https://iba-world.com/mai-tai/","./img/cocktails/IBA-CC-18-Mai-Tai-scaled.jpg","30 ml Amber Jamaican Rum;30 ml Martinique Molasses Rhum;15 ml Orange Curacao;15 ml Orgeat Syrup;30 ml Fresh Lime Juice;7.5 ml Simple Syrup"
45,Manhattan,"The Unforgettables","Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.","Garnish with a cocktail cherry.",NULL,NULL,6,"https://iba-world.com/manhattan/","./img/cocktails/IBA-TU-16-Manhattan.jpg","50 ml Rye Whiskey;20 ml Sweet Red Vermouth;1 dash Angostura Bitters"
46,Margarita,"Contemporary Classics","Add all ingredients into a shaker with ice. Shake and strain into a chilled cocktail glass.","Half salt rim (Optional).",NULL,NULL,5,"https://iba-world.com/margarita/","./img/cocktails/IBA-CC-19-Margarita-1-scaled.jpg","50 ml Tequila 100% Agave;20 ml Triple Sec;15 ml Freshly Squeezed Lime Juice"
47,Martinez,"The Unforgettables","Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.","Lemon zest.",NULL,NULL,4,"https://iba-world.com/martinez/","./img/cocktails/IBA-TU-17-Martinez.jpg","45 ml London Dry Gin;45 ml Sweet Red Vermouth;1 Bar Spoon Maraschino Liqueur;2 Dashes Orange Bitters"
48,"Mary Pickford","The Unforgettables","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",NULL,NULL,NULL,5,"https://iba-world.com/mary-pickford/","./img/cocktails/IBA-TU-18-Mary-Pickford.jpg","45 ml White Rum;45 ml Fresh Pineapple Juice;7.5 ml Maraschino Luxardo;5 ml Grenadine Syrup"
49,Mimosa,"Contemporary Classics","Pour orange juice into a flute glass and gently pour the sparkling wine. Stir gently.","Garnish with an orange twist (optional).",NULL,"Also known as Buck's Fizz.",10,"https://iba-world.com/mimosa/","./img/cocktails/IBA-CC-20-Mimosa-scaled.jpg","75 ml Fresh Orange Juice;75 ml Prosecco"
50,"Mint Julep","Contemporary Classics","In Julep Stainless Steel Cup gently muddle the mint with sugar and water. Fill the glass with cracked ice, add the Bourbon and stir well until the cup frosts.","Garnish with a mint sprig.",NULL,NULL,9,"https://iba-world.com/mint-julep/","./img/cocktails/IBA-CC-21-Mint-Julep-scaled.jpg","60 ml Bourbon Whiskey;4 Fresh Mint sprigs;1 tsp Powdered Sugar;2 tsp Water"
51,Mojito,"Contemporary Classics","Mix mint springs with sugar and lime juice. Add splash of soda water and fill the glass with ice. Pour the rum and top with soda water. Light stir to involve all ingredients.","Garnish with sprigs of mint and slice of lime.",NULL,NULL,10,"https://iba-world.com/mojito/","./img/cocktails/IBA-CC-22-Mojito-scaled.jpg","45 ml White Cuban Ron (Rum);20 ml Fresh Lime Juice;6 pcs Mint Sprigs;2 tsp White Cane Sugar;Top up Soda Water"
52,"Monkey Gland","The Unforgettables","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",NULL,NULL,NULL,5,"https://iba-world.com/monkey-gland/","./img/cocktails/IBA-TU-19-Monkey-Gland.jpg","45 ml Dry Gin;45 ml Fresh Orange Juice;1 Table Spoon Absinthe;1 Table Spoon Grenadine Syrup"
53,"Moscow Mule","Contemporary Classics","In a Mule Cup or rocks glass, combine the vodka and ginger beer. Add lime juice and gently stir to involve all ingredients.","Garnish with a lime slice.",NULL,NULL,8,"https://iba-world.com/moscow-mule/","./img/cocktails/IBA-CC-23-Moscow-Mule-scaled.jpg","45 ml Smirnoff Vodka;120 ml Ginger Beer;10 ml Fresh Lime Juice"
54,"Naked and Famous","New Era Drinks","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",NULL,NULL,NULL,2,"https://iba-world.com/naked-and-famous/","./img/cocktails/IBA-NE-11-Naked-and-Famous.jpg","22.5 ml Mezcal;22.5 ml Yellow Chartreuse;22.5 ml Aperol;22.5 ml Fresh Lime Juice"
55,Negroni,"The Unforgettables","Pour all ingredients directly into a chilled old fashioned glass filled with ice, Stir gently.","Garnish with a half orange slice.",NULL,NULL,7,"https://iba-world.com/negroni/","./img/cocktails/IBA-TU-20-Negroni.jpg","30 ml Gin;30 ml Bitter Campari;30 ml Sweet Red Vermouth"
56,"New York Sour","New Era Drinks","Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled rocks glass filled with ice. Float the wine on top.","Garnish with lemon or orange zest with cherry.",NULL,NULL,8,"https://iba-world.com/new-york-sour/","./img/cocktails/IBA-NE-12-NewYorkSour.jpg","60 ml Bourbon or Rye Whiskey;22.5 ml Simple Syrup;30 ml Fresh Lemon Juice;Few Drops Egg White;15 ml Red wine (Shiraz or Malbech)"
57,"Old Cuban","New Era Drinks","Pour all ingredients into cocktail shaker except the wine, shake well with ice, strain into chilled elegant cocktail glass. Top up with the sparkling wine.","Garnish with mint springs.",NULL,NULL,7,"https://iba-world.com/old-cuban/","./img/cocktails/IBA-NE-13-Old-Cuban.jpg","6/8 pcs Mint Leaves;45 ml Aged Rum;22.5 ml Fresh Lime Juice;30 ml Simple Syrup;2 Dashes Angostura Bitters;60 ml Brut Champagne or Prosecco"
58,"Old Fashioned","The Unforgettables","Place sugar cube in old fashioned glass and saturate with bitter, add few dashes of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Stir gently.","Garnish with an orange slice or zest, and a cocktail cherry.",NULL,NULL,9,"https://iba-world.com/old-fashioned/","./img/cocktails/IBA-TU-21-Old-Fashioned.jpg","45 ml Bourbon or Rye Whiskey;1 Sugar Cube;Few Dashes Angostura Bitters;Few Dashes Plain Water"
59,Paloma,"New Era Drinks","Poor the tequila into a highball glass, squeeze the lime juice. Add ice and salt, fill up pink grapefruit soda. Stir gently.","Garnish with a slice of lime.",NULL,NULL,9,"https://iba-world.com/paloma/","./img/cocktails/IBA-NE-14-Paloma.jpg","50 ml 100% Agave Tequila;5 ml Fresh Lime;A pinch Salt;100 ml Pink Grapefruit Soda"
60,"Paper Plane","New Era Drinks","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",NULL,NULL,NULL,5,"https://iba-world.com/paper-plane/","./img/cocktails/IBA-NE-15-Paper-Plane.jpg","30 ml Bourbon Whiskey;30 ml Amaro Nonino;30 ml Aperol;30 ml Fresh Lemon Juice"
61,Paradise,"The Unforgettables","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",NULL,NULL,NULL,6,"https://iba-world.com/paradise/","./img/cocktails/IBA-TU-22-Paradise.jpg","30 ml Gin;20 ml Apricot Brandy;15 ml Fresh Orange Juice"
62,Penicillin,"New Era Drinks","Muddle fresh ginger in a shaker and add the remaining ingredients, except for the Islay single malt whiskey. Fill the shaker with ice and shake. Double-strain into a chilled old fashioned glass with ice. Float the single malt whisky on top.","Garnish with candied ginger.",NULL,NULL,4,"https://iba-world.com/penicillin/","./img/cocktails/IBA-NE-16-Penicillin.jpg","60 ml Blended Scotch Whisky;7.5 ml Lagavulin 16y Whisky;22.5 ml Fresh Lemon Juice;22.5 ml Honey Syrup;2-3 quarter size Sliced Fresh Ginger"
63,"Pina Colada","Contemporary Classics","Blend all the ingredients with ice in an electric blender, pour into a large glass, and serve with straws.","Garnish with a slice of pineapple with a cocktail cherry.",NULL,"Historically a few drops of fresh lime juice were added to taste. 4 slices of fresh pineapple can be used instead of juice.",8,"https://iba-world.com/pina-colada/","./img/cocktails/IBA-CC-24-Pina-Colada-scaled.jpg","50 ml White Rum;30 ml Coconut Cream;50 ml Fresh Pineapple Juice"
64,"Pisco Sour","Contemporary Classics","Add all ingredients into a shaker with ice. Shake and strain into a chilled goblet glass.","Few dashes of Amargo bitters on top as an aromatic garnish.",NULL,NULL,6,"https://iba-world.com/pisco-sour/","./img/cocktails/IBA-CC-25-Pisco-Sour-scaled.jpg","60 ml Pisco;30 ml Fresh Lemon Juice;20 ml Simple Syrup;1 Raw Egg White"
65,"Planter's Punch","The Unforgettables","Pour all ingredients directly in a small tumbler or a typical terracotta glass.","Garnish with orange zest.",NULL,"Add dilution up to taste, it can be given by water, ice or fresh juices.",4,"https://iba-world.com/planters-punch/","./img/cocktails/IBA-TU-23-Planters-Punch.jpg","45 ml Jamaican Rum;15 ml Lime Juice;30 ml Sugar Cane Juice"
66,"Porto Flip","The Unforgettables","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.","Sprinkle with fresh ground nutmeg.",NULL,NULL,5,"https://iba-world.com/porto-flip/","./img/cocktails/IBA-TU-24-Porto-Flip.jpg","15 ml Brandy;45 ml Red Tawny Port Wine;10 ml Egg Yolk"
